k,gm,gm_e,nm,nm_e
201,4.443829399065537e-8,5.667168967089954e-5,9.417309891064625e-25,1.998117544864019e-8
202,4.153208739244111e-8,5.31666876674972e-5,7.270391515604194e-25,1.745694839556613e-8
203,3.8817056825128736e-8,4.987846125549148e-5,5.612710091254406e-25,1.5251607597800157e-8
204,3.6280543581220306e-8,4.6793603407730965e-5,4.3328192356547975e-25,1.332486807238064e-8
205,3.391073332668402e-8,4.3899536288099453e-5,3.344339707943363e-25,1.164153404864406e-8
206,3.169659931535001e-8,4.118445996812815e-5,2.580884415490303e-25,1.0170856046721503e-8
207,2.9627849457256404e-8,3.863730431535685e-5,1.9912557564948205e-25,8.885969176474662e-9
208,2.7694876976600306e-8,3.624768385727952e-5,1.5359490786589256e-25,7.763402396272243e-9
209,2.5888714413435437e-8,3.400585543684163e-5,1.184165327528807e-25,6.782649767231891e-9
210,2.4200990740375667e-8,3.1902678486838965e-5,9.125118294969368e-26,5.925795871024378e-9
211,2.2623891381076807e-8,2.9929577761245297e-5,7.027340113253755e-26,5.177188548743331e-9
212,2.1150120932454717e-8,2.8078508371514052e-5,5.407881827514561e-26,4.523152982758021e-9
213,1.97728684057696e-8,2.634192298529711e-5,4.158040679348728e-26,3.951741898679509e-9
214,1.848577481501144e-8,2.4712741053840664e-5,3.194906191688949e-26,3.452517324376902e-9
215,1.7282902952326797e-8,2.3184319942589553e-5,2.452259061682443e-26,3.0163599194334336e-9
216,1.615870920165994e-8,2.1750427847291324e-5,1.8802107644533208e-26,2.635302392061572e-9
217,1.5108017251792787e-8,2.0405218385171473e-5,1.4402812494854295e-26,2.3023839605022652e-9
218,1.4125993579624376e-8,1.9143206757580752e-5,1.1022587336602106e-26,2.0115232003531853e-9
219,1.3208124583402123e-8,1.7959247386923072e-5,8.427221231320695e-27,1.7574069551268221e-9
220,1.2350195253802076e-8,1.6848512936683337e-5,6.4383881914787896e-27,1.5353932807664612e-9
221,1.1548269278522386e-8,1.5806474629014013e-5,4.9140462025774225e-27,1.3414266512065068e-9
