p1,p2,p3,T
0.9987734399092588,0.0008175956948174054,0.0004089643959237746,C
0.9988604609957362,0.0007595968423907133,0.0003799421618730655,C
0.9989413118051107,0.0007057094257688835,0.00035297876912041774,C
0.999016429346229,0.0006556423908735759,0.00032792826289739505,C
0.9990862197452176,0.0006091252330571688,0.00030465502172522375,C
0.9991510604185155,0.0005659065537611316,0.0002830330277233331,C
0.9992113020943014,0.0005257527175136683,0.0002629451881849083,C
0.9992672706927105,0.0004884466024351838,0.0002442827048543309,C
0.99931926907455,0.00045378643786502546,0.00022694448758493171,C
0.9993675786675807,0.00042158472314175494,0.00021083660927749797,C
0.999412460978817,0.0003916672219630601,0.0001958717992199655,C
0.9994541590007386,0.00036387202712138234,0.00018196897213997764,C
0.9994928985187705,0.0003380486907585966,0.00016905279047085836,C
0.9995288893268871,0.00031405741560872036,0.0001570532575041752,C
0.9995623263577363,0.00029176830300278625,0.0001459053392608722,C
0.9995933907332388,0.0002710606536957769,0.000135548613065394,C
0.9996222507412107,0.00025182231784294805,0.00012592694094635805,C
0.9996490627431784,0.00023394909070299484,0.00011698816611856478,C
0.9996739720181999,0.0002173441508793523,0.0001086838309207954,C
